musica,"Pupila (part. Vitor Kley)"
musica,"Balão"
musica,"Apaixonadinha (part. Léo Santana e Didá Banda Feminina)"
musica,"quando a bad bater"
musica,"Tô Voando Alto"
musica,"Tijolão"
musica,"Positividade (part. MC Bola)"
musica,"In This Life"
musica,"Eu Sei Que Vem"
musica,"água com açúcar"
musica,"Gelo"
musica,"Loco"
musica,"Serenata"
musica,"Em Fervente Oração"
musica,"Memories"
musica,"Piece Of Your Heart (feat. Goodboys)"
musica,"Eu Quero Ver o Seu Milagre"
musica,"Buttercup"
musica,"Without Me"
musica,"Libera Ela"
musica,"Sweater Weather"
musica,"Um Pedido"
musica,"Boate Azul"
musica,"Halo"
musica,"Naked"
musica,"Thunder"
musica,"Closed On Sunday"
musica,"November Rain"
musica,"Falling Like The Stars"
musica,"Nem de Graça"
musica,"O Escudo"
musica,"Thinking Out Loud"
musica,"idontwannabeyouanymore"
musica,"Do I Wanna Know?"
musica,"Birds"
musica,"Vou Ter Que Superar (part. Marília Mendonça)"
musica,"Todavia Me Alegrarei"
musica,"thank u, next"
musica,"Palavras"
musica,"O Carpinteiro"
musica,"Love Of My Life"
musica,"Oi, Jesus"
musica,"Quarta Cadeira (part. Jorge e Mateus)"
musica,"Atos 2"
musica,"Porque Eu Te Amo"
musica,"Prioridade"
musica,"Oh, Quão Lindo Esse Nome É"
musica,"Contramão"
musica,"Acende o Isqueiro"
musica,"Era Uma Vez"
musica,"Contramão"
musica,"Vê Se Não Demora (part. Dcan, Kiaz, Nith e Agnes Nunes)"
musica,"That's Life"
musica,"When I Was Your Man"
musica,"Espírito Santo"
musica,"Sweet Child O' Mine"
musica,"Dusk Till Dawn (feat. Sia)"
musica,"Peça Felicidade"
musica,"A Mensagem da Cruz"
musica,"Kill This Love"
musica,"Demons"
musica,"O Que Tua Glória Fez Comigo"
musica,"Perrengue"
musica,"Me Leva Pra Casa"
musica,"Oceans (Where Feet May Fail)"
musica,"Ferida Curada"
musica,"How Do You Sleep?"
musica,"Pumped Up Kicks"
musica,"Amor de Fim de Noite"
musica,"Evoluiu (part. Sodré)"
musica,"all the good girls go to hell"
musica,"Circles"
musica,"Raridade"
musica,"Enquanto Me Beija"
musica,"Alvo Mais Que a Neve"
musica,"Shape Of You"
musica,"A Vitória Chegou"
musica,"Aí Eu Bebo"
musica,"In The End"
musica,"Grato a Ti"
